method,seed,sample_index,true_class,original_class,counterfactual_class,time_seconds,num_grad_updates_used,EN,IM1,IM2,is_satisfactory
A,42,993,0,0,0,3.783169799949974,500,0.026554423081688584,0.9999998807907104,0.062077846378088,0
B,42,993,0,0,0,4.111020999960601,500,47.21256866455078,0.9999998211860657,0.06122805178165436,0
C,42,993,0,0,0,3.04152410000097,500,21.926642227172852,0.9999999403953552,0.06859953701496124,0
D,42,993,0,0,5,0.7007238999940455,106,31.94334144592285,1.0745214223861694,0.04981234297156334,1
E,42,993,0,0,0,2.157945499988273,500,21.92052116394043,0.9999999403953552,0.06892167776823044,0
F,42,993,0,0,5,0.6003703000023961,107,32.07594261169434,1.0728373527526855,0.049561984837055206,1
A,43,993,0,0,0,2.264388100011274,500,0.026554423081688584,0.9999998807907104,0.062077846378088,0
B,43,993,0,0,0,2.716223900031764,500,47.21256866455078,0.9999998211860657,0.06122805178165436,0
C,43,993,0,0,0,2.5654429000569507,500,21.926642227172852,0.9999999403953552,0.06859953701496124,0
D,43,993,0,0,5,0.6488489999901503,106,31.94334144592285,1.0745214223861694,0.04981234297156334,1
E,43,993,0,0,0,2.0868269000202417,500,21.92052116394043,0.9999999403953552,0.06892167776823044,0
F,43,993,0,0,5,0.5453290000441484,107,32.07594261169434,1.0728373527526855,0.049561984837055206,1
A,44,993,0,0,0,2.13321379997069,500,0.026554423081688584,0.9999998807907104,0.062077846378088,0
B,44,993,0,0,0,2.709406200039666,500,47.21256866455078,0.9999998211860657,0.06122805178165436,0
C,44,993,0,0,0,2.5616661999956705,500,21.926642227172852,0.9999999403953552,0.06859953701496124,0
D,44,993,0,0,5,0.650596100022085,106,31.94334144592285,1.0745214223861694,0.04981234297156334,1
E,44,993,0,0,0,2.0104550999822095,500,21.92052116394043,0.9999999403953552,0.06892167776823044,0
F,44,993,0,0,5,0.5686520999879576,107,32.07594261169434,1.0728373527526855,0.049561984837055206,1
A,42,7820,0,0,0,2.1997592000407167,500,0.02589856694394257,0.9999998807907104,0.04331294074654579,0
B,42,7820,0,0,0,2.8136761999921873,500,40.66641616821289,0.9999998211860657,0.044967204332351685,0
C,42,7820,0,0,0,2.5830217000329867,500,38.461591720581055,0.9999999403953552,0.059926509857177734,0
D,42,7820,0,0,2,1.5251418999978341,250,50.343790435791014,0.9380000829696655,0.04620788246393204,1
E,42,7820,0,0,0,1.9740143999806605,500,38.487005615234374,0.9999999403953552,0.059882909059524536,0
F,42,7820,0,0,2,1.2767050999682397,253,50.42301483154297,0.9360464811325073,0.046259891241788864,1
A,43,7820,0,0,0,2.1114239000016823,500,0.02589856694394257,0.9999998807907104,0.04331294074654579,0
B,43,7820,0,0,0,2.7745463000028394,500,40.66641616821289,0.9999998211860657,0.044967204332351685,0
C,43,7820,0,0,0,2.6407839999883436,500,38.461591720581055,0.9999999403953552,0.059926509857177734,0
D,43,7820,0,0,2,1.5361850999761373,250,50.343790435791014,0.9380000829696655,0.04620788246393204,1
E,43,7820,0,0,0,2.0587427000282332,500,38.487005615234374,0.9999999403953552,0.059882909059524536,0
F,43,7820,0,0,2,1.410452299984172,253,50.42301483154297,0.9360464811325073,0.046259891241788864,1
A,44,7820,0,0,0,2.291850700043142,500,0.02589856694394257,0.9999998807907104,0.04331294074654579,0
B,44,7820,0,0,0,2.7448000000440516,500,40.66641616821289,0.9999998211860657,0.044967204332351685,0
C,44,7820,0,0,0,2.558426600007806,500,38.461591720581055,0.9999999403953552,0.059926509857177734,0
D,44,7820,0,0,2,1.540008200041484,250,50.343790435791014,0.9380000829696655,0.04620788246393204,1
E,44,7820,0,0,0,2.0265613000374287,500,38.487005615234374,0.9999999403953552,0.059882909059524536,0
F,44,7820,0,0,2,1.3120932999881916,253,50.42301483154297,0.9360464811325073,0.046259891241788864,1
A,42,1009,0,0,0,2.1308397999964654,500,0.024640340413316156,0.9999998807907104,0.05578428879380226,0
B,42,1009,0,0,0,2.7201663000159897,500,43.46214904785156,0.9999998211860657,0.04086672142148018,0
C,42,1009,0,0,0,2.5276903999620117,500,21.069695472717285,0.9999999403953552,0.061012621968984604,0
D,42,1009,0,0,5,0.5165701000369154,86,31.02091751098633,0.9477643966674805,0.06384091079235077,1
E,42,1009,0,0,0,1.9728048000251874,500,21.337915420532227,0.9999999403953552,0.06044522672891617,0
F,42,1009,0,0,8,0.4500753000029363,88,31.105298614501955,1.183490514755249,0.10434180498123169,1
A,43,1009,0,0,0,2.11727869999595,500,0.024640340413316156,0.9999998807907104,0.05578428879380226,0
B,43,1009,0,0,0,2.7768332999548875,500,43.46214904785156,0.9999998211860657,0.04086672142148018,0
C,43,1009,0,0,0,2.542760099982843,500,21.069695472717285,0.9999999403953552,0.061012621968984604,0
D,43,1009,0,0,5,0.5327576999552548,86,31.02091751098633,0.9477643966674805,0.06384091079235077,1
E,43,1009,0,0,0,1.944506200030446,500,21.337915420532227,0.9999999403953552,0.06044522672891617,0
F,43,1009,0,0,8,0.46697969996603206,88,31.105298614501955,1.183490514755249,0.10434180498123169,1
A,44,1009,0,0,0,2.1271140000317246,500,0.024640340413316156,0.9999998807907104,0.05578428879380226,0
B,44,1009,0,0,0,2.7468314999714494,500,43.46214904785156,0.9999998211860657,0.04086672142148018,0
